circle,center_position
2,"[533.2908672517782, 162.64388739997597, 130.33203306002144]"
3,"[542.2187645938998, 137.82119675193567, 126.76269268142927]"
4,"[542.2187645938998, 137.82119675193567, 126.76269268142927]"
5,"[537.8909073009605, 137.62182324866444, 124.43784219873118]"
6,"[540.6030188438222, 138.35696212817393, 125.73754507334114]"
7,"[532.8276311893254, 131.75381053549145, 130.11315681381123]"
8,"[529.8475105962119, 160.9743534513184, 132.46565652903328]"
9,"[531.9878322004432, 152.57381454435017, 132.56300266039312]"
10,"[531.9878322004432, 152.57381454435017, 132.56300266039312]"
11,"[531.5211046912262, 152.44701736117463, 133.0059107876866]"
12,"[532.4197603145035, 153.91470784753437, 131.56818571862564]"
13,"[532.4823702038852, 152.26939677419432, 132.1689757390451]"
14,"[537.8551968370138, 153.48318193091617, 131.46673571510982]"
15,"[537.8551968370138, 153.48318193091617, 131.46673571510982]"
16,"[536.2567791181526, 177.05546017360962, 129.04144233314]"
17,"[536.2567791181526, 177.05546017360962, 129.04144233314]"
18,"[538.5555884938814, 165.88829982706315, 129.53804914101423]"
19,"[544.2420716201013, 167.23157664759606, 127.97401710588501]"
20,"[544.2420716201013, 167.23157664759606, 127.97401710588501]"
21,"[544.2420716201013, 167.23157664759606, 127.97401710588501]"
22,"[537.0883776368142, 162.23504729924514, 130.98006098216504]"
23,"[533.8051212864299, 160.54760675173804, 132.4443970453589]"
24,"[538.1937672195882, 161.21015828191028, 132.67205473440342]"
25,"[535.8029873844959, 169.46221212126727, 132.61493781415493]"
26,"[537.6547340900912, 174.69599577954057, 131.12583093242492]"
27,"[540.6250560227317, 161.16786712972046, 131.28973241943535]"
28,"[535.6107061339452, 160.47560889338794, 132.62580218180284]"
29,"[538.8847915370578, 163.64143629333705, 131.20053601281876]"
30,"[553.5985025399517, 155.26947235211844, 126.90007324663497]"
31,"[558.7311594634273, 156.39450064156242, 125.70228238876719]"
32,"[555.7055602930602, 171.38116236346653, 126.75835799683303]"
33,"[555.7055602930602, 171.38116236346653, 126.75835799683303]"
34,"[548.2099123940351, 169.3182250273101, 128.97233666262028]"
35,"[546.6794792359016, 168.98979844434913, 129.09799025868736]"
36,"[548.4676014841589, 157.7730241468638, 129.19497427584375]"
37,"[544.2308850823857, 171.20101503896532, 130.69894071010182]"
38,"[548.6572509741175, 172.34308140231317, 129.24431811756492]"
39,"[545.0481990109979, 170.24902144353544, 130.4651767204546]"
40,"[543.6261939372434, 160.01983326360008, 131.275470036484]"
41,"[543.6261939372434, 160.01983326360008, 131.275470036484]"
42,"[538.8567280247032, 159.39658644426257, 132.98155938642955]"
43,"[538.8567280247032, 159.39658644426257, 132.98155938642955]"
44,"[538.8567280247032, 159.39658644426257, 132.98155938642955]"
45,"[544.6960167104213, 163.41584357089528, 129.18029151325268]"
46,"[547.965006884369, 164.4176420124676, 127.74261805648075]"
47,"[544.437821154002, 174.22336295656996, 127.18953512830939]"
48,"[541.1276572741295, 169.97988821253838, 129.30637382210918]"
49,"[540.2160916879398, 171.92472172347001, 128.9430029639866]"
50,"[541.5557088453181, 165.89071914716155, 129.28690190148936]"
51,"[541.5990984499023, 166.03136152079287, 129.29354125385575]"
52,"[545.7939951195973, 173.1428531401016, 127.0574175661655]"
53,"[539.3177784595179, 171.57927948324274, 127.70279214753431]"
54,"[542.6532857990486, 163.73133723190847, 127.44398054581279]"
55,"[542.4821548676233, 163.9607749943207, 128.09394539894694]"
56,"[542.8408495452833, 165.3016767249279, 128.14073405168935]"
57,"[544.0587934666888, 151.04637626989734, 128.75127769751626]"
58,"[537.7147896934799, 146.87015992836396, 130.46839453446034]"
59,"[530.7388962477064, 156.21034936957776, 130.28186134317954]"
60,"[529.1122423918763, 156.15384063998863, 130.9805806705247]"
61,"[527.1124865832231, 156.61347429657084, 133.55107641482346]"
62,"[531.9306804927561, 157.1091491545935, 132.18520908657518]"
63,"[537.3543703445993, 157.89902666052828, 130.70803243894972]"
64,"[542.9573877906527, 159.51005237924312, 128.81273185358893]"
65,"[543.3218318975905, 160.08725618548462, 128.8720009454574]"
66,"[540.8273828118563, 173.61404456531125, 129.40387889829265]"
67,"[541.610932235125, 170.43720846868007, 130.60522675707207]"
68,"[541.686786755882, 170.32863439626396, 130.62370296712876]"
69,"[539.7350924408511, 169.94615785064505, 131.60672480527023]"
70,"[544.2156087478265, 159.0215103115728, 130.1004771691597]"
71,"[544.7051165643994, 158.41340438484943, 129.01779731444768]"
72,"[544.7051165643994, 158.41340438484943, 129.01779731444768]"
73,"[544.8265621963959, 156.10801187821718, 129.49867625846943]"
74,"[548.4089699113767, 171.75565021968626, 126.04236411064223]"
75,"[541.2077601341906, 168.52202226597686, 128.18073228499455]"
76,"[537.8493668516867, 178.35841209795174, 127.83047490872377]"
77,"[537.0087417722488, 177.98254966483913, 128.08757769913484]"
78,"[537.0087417722488, 177.98254966483913, 128.08757769913484]"
79,"[536.3610529602655, 177.80805974108674, 128.32504664810565]"
80,"[536.3610529602655, 177.80805974108674, 128.32504664810565]"
81,"[533.3516744995258, 174.41551587937636, 131.616435741973]"
82,"[534.4469235639507, 174.68895739041866, 130.94735093878518]"
83,"[534.4469235639507, 174.68895739041866, 130.94735093878518]"
84,"[530.65193613282, 188.46825202303918, 128.0497376109908]"
85,"[531.8083627166183, 189.16291410595397, 126.8410267247263]"
86,"[533.2719909032992, 189.45423173682272, 126.94914870619294]"
87,"[535.3888246190825, 186.8764619639032, 128.09697604445023]"
88,"[535.571954546561, 187.1754420741838, 127.84039950647592]"
89,"[540.5620376048302, 168.72239937389125, 128.33067054129953]"
90,"[541.3604446389486, 164.22857858572544, 128.40633857536412]"
91,"[541.4968191423103, 164.087604048833, 128.59077212310697]"
92,"[547.5094055200703, 165.82526496577654, 127.75185681618878]"
93,"[546.0908749473145, 154.12828804429293, 128.59581642341]"
94,"[542.8046648972228, 165.2081609045342, 129.03307915893905]"
95,"[544.9404912566348, 165.38683863901954, 127.68663156901788]"
96,"[543.9914837970559, 165.282372688309, 127.65292803868033]"
97,"[541.448448394433, 177.33651152367636, 127.1406872860856]"
98,"[544.3535010020661, 166.57754379462529, 126.61878496231073]"
99,"[544.3535010020661, 166.57754379462529, 126.61878496231073]"
100,"[547.3641678111732, 167.5798911954046, 125.84791210131704]"
101,"[547.3641678111732, 167.5798911954046, 125.84791210131704]"
102,"[548.486538583143, 168.02209709497285, 125.10318178954095]"
103,"[545.2547938466442, 182.75920744114111, 124.24087484728051]"
104,"[547.2075603366392, 169.39352346384942, 124.39550272334736]"
105,"[547.2075603366392, 169.39352346384942, 124.39550272334736]"
106,"[546.9368702589026, 171.1677296224889, 124.672699086067]"
107,"[548.2067672548236, 165.50895822350597, 124.82468863040468]"
108,"[545.1873182653204, 164.13789447539781, 126.39204400313962]"
109,"[546.8899787681181, 160.09166648347662, 126.1606122795147]"
110,"[549.116392843274, 163.41152257715592, 126.31763666497714]"
111,"[543.5555798293058, 168.59387423675378, 126.26179213614898]"
112,"[547.6993007309318, 172.3033401201849, 125.24402536910617]"
113,"[549.8289330885581, 173.4751801592865, 124.66174681148374]"
114,"[549.4382467086435, 179.53645005825453, 124.5175048397599]"
115,"[547.989203926951, 178.64063833224802, 125.09533218946864]"
116,"[551.6284067223952, 161.61410211597516, 122.62503147187408]"
117,"[552.0583035117687, 161.16416156243415, 123.32399139185897]"
118,"[541.1340796989997, 168.58651368227004, 127.49476715277949]"
119,"[539.4828720225028, 175.06310598031257, 128.2302739634532]"
120,"[539.4828720225028, 175.06310598031257, 128.2302739634532]"
121,"[537.2867112693713, 180.98055562699676, 129.06673904368782]"
122,"[539.934805404576, 169.2481648443685, 129.26382819072086]"
123,"[535.4891234260801, 176.09437671244658, 129.96073859964974]"
124,"[531.983731319004, 175.52922484772273, 131.02506667584802]"
125,"[530.2769333626308, 183.26563540884592, 131.64344605370752]"
126,"[531.117947113304, 188.45906074253824, 131.08291881312758]"
127,"[527.0047877996593, 191.74884758919094, 132.62971696703602]"
128,"[529.3124104399849, 193.70514585795752, 130.83787124133104]"
129,"[530.3979569884937, 186.75771473923376, 130.55740657442246]"
130,"[530.4312016660517, 177.1936340777527, 131.89003603569333]"
131,"[532.6746646381995, 177.60165529737648, 130.79936257418936]"
132,"[532.6746646381995, 177.60165529737648, 130.79936257418936]"
133,"[526.9890043212137, 170.97578155405915, 133.03410800415006]"
134,"[526.8265002359948, 170.96815165683282, 133.16609443343972]"
135,"[522.5726171334722, 170.15164734919247, 133.96181492410656]"
136,"[522.5726171334722, 170.15164734919247, 133.96181492410656]"
137,"[522.5726171334722, 170.15164734919247, 133.96181492410656]"
138,"[522.7333330351915, 168.4855766972986, 133.99432223383033]"
139,"[526.2511930144159, 170.28768794800214, 134.45157330935874]"
140,"[528.4162601365184, 170.91951744600348, 133.92632293966741]"
141,"[524.1514073834921, 167.3661055840106, 134.54120490755284]"
142,"[523.6093619159911, 170.23286967338365, 134.12647696725256]"
143,"[523.9711858043121, 168.83501700220347, 134.37856475218425]"
144,"[528.5268980736446, 169.63742859383908, 133.56854944132712]"
145,"[529.7327804766556, 174.5391453153991, 133.1276008322603]"
146,"[537.3107679182332, 179.16118634595125, 128.40392393865267]"
147,"[537.2497382224891, 184.14320489497484, 127.17749638030064]"
148,"[539.2154737996202, 175.91128885465434, 126.70838624168437]"
149,"[539.2154737996202, 175.91128885465434, 126.70838624168437]"
150,"[543.5418009855492, 177.114082727559, 123.90486102527979]"
151,"[536.4930833027632, 171.8130733739259, 127.89102870916342]"
152,"[539.3942052614716, 173.63239219638896, 127.99003945753547]"
153,"[539.3942052614716, 173.63239219638896, 127.99003945753547]"
154,"[537.2084258542832, 169.16100303661813, 129.1835671243439]"
155,"[536.5490236485168, 168.96353883537225, 129.71692897651653]"
156,"[532.7622980488263, 180.4258665510135, 128.85552532044642]"
157,"[533.7162562391644, 176.28019521562703, 129.7069334075935]"
158,"[533.7162562391644, 176.28019521562703, 129.7069334075935]"
159,"[533.242505669311, 175.82179502799352, 129.9761335747459]"
160,"[533.163691391121, 175.58281202418414, 130.26222413471402]"
161,"[539.8709062749269, 166.92584421055906, 127.26140970714737]"
162,"[538.6039709487644, 168.75560735621966, 129.01039396928127]"
163,"[537.9746923762458, 168.09319452635023, 129.34715705637993]"
164,"[535.7783613112283, 165.2578214228519, 130.0453778073973]"
165,"[534.5501589907009, 169.931539602495, 129.94563038268072]"
166,"[538.3629069205044, 171.0646869856987, 128.98211846497176]"
167,"[539.4128863332152, 176.2147270380914, 128.47090589282774]"
168,"[535.3177721513636, 173.59121021001798, 131.0531070292291]"
169,"[535.3177721513636, 173.59121021001798, 131.0531070292291]"
170,"[539.7622698497604, 175.21509600828196, 129.11988189786297]"
171,"[538.580776021948, 174.7718353367297, 129.87712808326327]"
172,"[537.1634920828258, 181.08041830421897, 129.42553736999784]"
173,"[536.9546320631416, 180.80664150598355, 129.4253112918822]"
174,"[536.9546320631416, 180.80664150598355, 129.4253112918822]"
175,"[540.924448566984, 182.48287435790886, 129.49384911462408]"
176,"[531.3698070432542, 179.66047843890533, 131.77323517595167]"
177,"[535.9960907743481, 160.69667292182635, 133.21934152094425]"
178,"[535.6166646947607, 163.82752834744397, 132.8233427793443]"
179,"[537.1690968667185, 165.88269002856404, 133.07758211501385]"
180,"[532.1519053328594, 162.40542333229882, 133.37667151589878]"
181,"[532.1519053328594, 162.40542333229882, 133.37667151589878]"
182,"[532.1706956679155, 162.78841123898974, 133.21096825794248]"
183,"[532.1706956679155, 162.78841123898974, 133.21096825794248]"
184,"[536.1363527777581, 164.4442875947749, 132.75927987016755]"
185,"[540.6775668249037, 169.8314840248864, 130.60482836843389]"
186,"[540.6775668249037, 169.8314840248864, 130.60482836843389]"
187,"[540.0376230338223, 171.2396815278812, 132.22742440138327]"
188,"[540.1254566929084, 172.26055313190363, 131.64664307543583]"
189,"[540.1254566929084, 172.26055313190363, 131.64664307543583]"
190,"[540.1254566929084, 172.26055313190363, 131.64664307543583]"
191,"[538.058718832433, 172.0086627934521, 132.0468209427236]"
192,"[538.058718832433, 172.0086627934521, 132.0468209427236]"
193,"[538.5360814164051, 175.44198422875465, 130.9812414774173]"
194,"[537.0291563715624, 175.0680780304689, 131.49469263915353]"
195,"[540.1801692659583, 167.88771264959283, 129.69780360832155]"
196,"[548.4148987559889, 172.43769117512946, 128.16058046531663]"
197,"[547.045946445177, 178.29597057241264, 128.3151943587287]"
198,"[547.881915744666, 178.40829863090892, 127.77923595225356]"
199,"[547.881915744666, 178.40829863090892, 127.77923595225356]"
200,"[550.0033430408739, 180.36528620976833, 128.05084748165055]"
201,"[547.0113876410802, 175.53716335281626, 129.63136054445127]"
202,"[547.0113876410802, 175.53716335281626, 129.63136054445127]"
203,"[547.0113876410802, 175.53716335281626, 129.63136054445127]"
204,"[547.0113876410802, 175.53716335281626, 129.63136054445127]"
205,"[547.0113876410802, 175.53716335281626, 129.63136054445127]"
206,"[549.3242304514855, 175.2902970115139, 127.19466547210696]"
207,"[544.8990305943394, 174.00179727281133, 128.9228597151378]"
208,"[535.2328832239427, 169.00068715360405, 132.34456564926737]"
209,"[536.5586345796692, 168.90918168850055, 132.37657444356117]"
210,"[542.0500705341894, 171.8333422541593, 131.05975645778682]"
211,"[542.0500705341894, 171.8333422541593, 131.05975645778682]"
212,"[540.3038826780954, 170.99740237633662, 131.33213568600422]"
213,"[535.0921863741268, 169.93887006748284, 132.02769457936833]"
214,"[540.2045831154325, 156.5437367600042, 129.6352594483966]"
215,"[535.4440325842764, 164.84990173464942, 130.97918013435591]"
216,"[538.8589186757714, 166.66573174808286, 128.6648236195791]"
217,"[543.6450032579891, 168.48513249445378, 130.72309706941604]"
218,"[544.9070472640639, 165.38502570422534, 130.74501698977483]"
219,"[547.0733883169698, 166.02067478044629, 129.84325992839175]"
220,"[548.2175556145468, 174.85359327454378, 127.80962738292412]"
221,"[548.7289318728907, 175.4915063579558, 126.96050508527092]"
222,"[549.1052277236585, 175.7461775132921, 126.89378380810791]"
223,"[538.1888433901477, 170.051298001915, 130.2423283844053]"
224,"[534.769951242224, 169.37547247694553, 131.27146486838612]"
225,"[534.769951242224, 169.37547247694553, 131.27146486838612]"
226,"[543.283216904597, 155.08187339673316, 128.1939928975962]"
227,"[539.6996972018578, 152.31861695284636, 129.99548372863993]"
228,"[544.931238908178, 153.7362588041406, 128.17360600738252]"
229,"[536.1693123646975, 156.39499200291948, 130.39818320139946]"
230,"[536.9690378354315, 160.88084647028077, 130.0756440367621]"
231,"[536.9690378354315, 160.88084647028077, 130.0756440367621]"
232,"[536.9690378354315, 160.88084647028077, 130.0756440367621]"
233,"[538.5517974885298, 161.41736731357705, 129.30296022445012]"
234,"[542.3591866411874, 164.73570486550895, 129.9634041255419]"
235,"[542.3591866411874, 164.73570486550895, 129.9634041255419]"
236,"[542.3591866411874, 164.73570486550895, 129.9634041255419]"
237,"[543.93914714238, 165.53019026475525, 129.15532143127652]"
238,"[544.5668412344398, 167.090822668838, 129.7430821903474]"
239,"[540.6696662236417, 166.28004192412774, 131.31839152590126]"
240,"[543.9884647572436, 172.2895328944832, 128.95331200736018]"
241,"[541.2649756510176, 184.683760484084, 126.46393293440876]"
242,"[541.2649756510176, 184.683760484084, 126.46393293440876]"
243,"[543.3054374130389, 185.0920759234963, 125.6076542024997]"
244,"[543.3054374130389, 185.0920759234963, 125.6076542024997]"
245,"[544.8328424960258, 185.41992888260975, 125.56012337022703]"
246,"[544.8328424960258, 185.41992888260975, 125.56012337022703]"
247,"[546.2019654363771, 185.51434470636082, 125.08413286535297]"
248,"[552.0800395459864, 178.4059609239582, 127.07737718950415]"
249,"[552.5500027548169, 176.601721053623, 127.43451006971237]"
250,"[552.5500027548169, 176.601721053623, 127.43451006971237]"
251,"[562.6531301424768, 164.9139773266493, 125.71714075561964]"
252,"[562.9756835144595, 163.7626355460247, 124.01644834991833]"
253,"[555.9412177086148, 173.5355742127739, 125.36412168099281]"
254,"[554.0446222286814, 162.20025741848704, 127.23309964242496]"
255,"[553.1091523083493, 161.74119384814557, 127.71541997749227]"
256,"[550.4908180148017, 174.12116122629473, 126.57673159316255]"
257,"[549.7543214164197, 170.21583775221532, 128.08148433818064]"
258,"[549.7543214164197, 170.21583775221532, 128.08148433818064]"
259,"[549.7543214164197, 170.21583775221532, 128.08148433818064]"
260,"[545.8975469119224, 169.71345484797072, 130.01863406498472]"
261,"[537.5324242311165, 167.7331267258023, 131.89941188546868]"
262,"[535.7147490124896, 172.2474978765895, 132.38585923588954]"
263,"[537.7969113407332, 172.36933000820866, 131.48864145578287]"
264,"[538.5248761346485, 173.69342297737185, 130.44586523750402]"
265,"[541.7443200073095, 178.0787979732022, 130.66914564071382]"
266,"[543.4609837911679, 171.74875848271162, 130.17205004985212]"
267,"[545.3708116425238, 172.37754476053178, 129.33936783135303]"
268,"[547.118799344775, 172.59216995471215, 129.30372941115345]"
269,"[546.9374860087958, 178.89563380301675, 128.39614052588507]"
270,"[544.1832337525851, 170.26092784544235, 130.60786064519456]"
271,"[541.7629774220335, 169.7604563414317, 131.78097999277472]"
272,"[545.508016453864, 165.01571689013403, 130.3680531543175]"
273,"[543.5759028172635, 174.35104597354461, 128.917833098425]"
274,"[546.6082864379899, 173.6690619472291, 128.25465699798647]"
275,"[552.1500664774238, 175.091155389096, 126.48626514419878]"
276,"[547.4687540178728, 182.09461849711397, 129.34341984529303]"
277,"[552.0363738842449, 172.9368543284328, 128.14576767317024]"
278,"[552.2176776833276, 172.69955576595245, 126.77916036290264]"
279,"[552.5307807656974, 173.26221694860894, 127.50753090107713]"
280,"[548.2312977453992, 176.0549301539768, 128.25459665258296]"
281,"[548.6939265648803, 176.15148381466858, 127.95876544947737]"
282,"[548.2839447537498, 176.38469645330372, 127.01102732562707]"
283,"[547.6752728974698, 180.24255253596414, 126.36058722608429]"
284,"[548.8684645552079, 180.250678612506, 125.00737504164437]"
285,"[548.8684645552079, 180.250678612506, 125.00737504164437]"
286,"[544.5871008414059, 179.9941957615205, 127.16813471304101]"
287,"[550.8684813778194, 181.31993110140783, 124.99772776663508]"
288,"[544.2302239984577, 176.70311721429394, 127.78303061432025]"
289,"[544.2302239984577, 176.70311721429394, 127.78303061432025]"
290,"[541.2566896670337, 175.230353353864, 129.10909152031692]"
291,"[541.2566896670337, 175.230353353864, 129.10909152031692]"
292,"[547.103122908585, 177.21212737639, 126.96306313905266]"
293,"[547.2941444315549, 178.12018036175678, 126.9528012569764]"
294,"[552.2117795711497, 156.09814034472438, 128.6540976419171]"
295,"[552.2117795711497, 156.09814034472438, 128.6540976419171]"
296,"[552.2117795711497, 156.09814034472438, 128.6540976419171]"
297,"[544.368172192323, 154.4787327765921, 131.19564172333]"
298,"[546.0283872574399, 155.46794703406, 129.7223457242106]"
299,"[552.0211055660822, 163.11482384558158, 127.0065507474282]"
300,"[551.4527575711544, 165.8458765236744, 126.9794197801421]"
301,"[550.6269625453974, 167.17769126585412, 126.81609465884536]"
302,"[580.4974594616286, 124.08970601773126, 148.36133767164804]"
303,"[580.4974594616286, 124.08970601773126, 148.36133767164804]"
304,"[580.4974594616286, 124.08970601773126, 148.36133767164804]"
305,"[575.7310854272612, 124.6069615146439, 148.01633936746512]"
306,"[576.5809680698571, 125.1787472860339, 147.15999017999297]"
307,"[577.9917426184553, 120.68853750784395, 146.86040851304492]"
308,"[568.8772304881268, 118.92730520236007, 145.88818335496643]"
309,"[568.8772304881268, 118.92730520236007, 145.88818335496643]"
